1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,18,19
3933,abhinav strirog vigyan,3933,ayodhya prasad achal,abhinav strirog vigyan,240,chuakhambasurbharti prakashn,544,Nagpur,CR2884,1/22/2013,8,CR2884,1/22/2013,STUDENT,Available,strirog and prasuti tantra,Hindi,
3934,abhinav strirog vigyan,3934,ayodhya prasad achal,abhinav strirog vigyan,240,chuakhambasurbharti prakashn,544,Nagpur,CR2884,1/22/2013,8,CR2884,1/22/2013,STUDENT,Available,strirog and prasuti tantra,Hindi,
3935,abhinav strirog vigyan,3935,ayodhya prasad achal,abhinav strirog vigyan,240,chuakhambasurbharti prakashn,544,Nagpur,CR2884,1/22/2013,8,CR2884,1/22/2013,STUDENT,Available,strirog and prasuti tantra,Hindi,
3936,siddha yog sangraha,3936,yadavji trikamji acharya,siddha yog sangraha,50,baidyanath ayurved bhavan lmt,182,Nagpur,CR2884,1/22/2013,32,CR2884,1/22/2013,STUDENT,Available,strirog and prasuti tantra,marathi,
3937,siddha yog sangraha,3937,yadavji trikamji acharya,siddha yog sangraha,50,baidyanath ayurved bhavan lmt,182,Nagpur,CR2884,1/22/2013,32,CR2884,1/22/2013,STUDENT,Available,strirog and prasuti tantra,marathi,
3938,API textbook of medicine 1,3938,sidhart shah,API textbook of medicine 1,1190,association of physician of india,1624,Nagpur,CR2884,1/22/2013,3,CR2884,1/22/2013,STUDENT,Available,KAYCHIKITSA,english,
3939,API textbook of medicine 2,3939,sidhart shah,API textbook of medicine 2,1190,association of physician of india,1624,Nagpur,CR2884,1/22/2013,3,CR2884,1/22/2013,STUDENT,Available,KAYCHIKITSA,english,
3940,drushtartha shalakya tantram,3940,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3941,drushtartha shalakya tantram,3941,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3942,drushtartha shalakya tantram,3942,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3943,drushtartha shalakya tantram,3943,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3944,drushtartha shalakya tantram,3944,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3945,drushtartha shalakya tantram,3945,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3946,drushtartha shalakya tantram,3946,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3947,drushtartha shalakya tantram,3947,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3948,drushtartha shalakya tantram,3948,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3949,drushtartha shalakya tantram,3949,P G Athavale,dustartha shalakya tantram,25,padmalay,159,Nagpur,CR2884,1/22/2013,9,CR2884,1/22/2013,STUDENT,Available,shalakya,marathi,
3950, drushtartha shariram 1,3950,P G Athavale, drushtartha shariram 1,150,godavari publishers,242,Nagpur,CR2884,1/22/2013,16,CR2884,1/22/2013,STUDENT,Available,rachana sharir,marathi,
3951, drushtartha shariram 1,3951,P G Athavale, drushtartha shariram 1,150,godavari publishers,242,Nagpur,CR2884,1/22/2013,16,CR2884,1/22/2013,STUDENT,Available,rachana sharir,marathi,
3952, drushtartha shariram 2,3952,P G Athavale, drushtartha shariram 1,150,godavari publishers,478,Nagpur,CR2884,1/22/2013,16,CR2884,1/22/2013,STUDENT,Available,rachana sharir,marathi,
3953, drushtartha shariram 2,3953,P G Athavale, drushtartha shariram 1,150,godavari publishers,478,Nagpur,CR2884,1/22/2013,16,CR2884,1/22/2013,STUDENT,Available,rachana sharir,marathi,
3954,drushtartha shalyatantram 1,3954,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3955,drushtartha shalyatantram 2,3955,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3956,drushtartha shalyatantram 1,3956,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3957,drushtartha shalyatantram 1,3957,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3958,drushtartha shalyatantram 1,3958,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3959,drushtartha shalyatantram 1,3959,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3960,drushtartha shalyatantram 1,3960,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3961,drushtartha shalyatantram 1,3961,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3962,drushtartha shalyatantram 1,3962,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3963,drushtartha shalyatantram 1,3963,P G Athavale,drushtartha shalyatantram 1,180,godavari publishers,342,Nagpur,CR2884,1/22/2013,23,CR2884,1/22/2013,STUDENT,Available,shalyatantra,marathi,
3964,drushtartha ashtang sangraha,3964,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3965,drushtartha ashtang sangraha,3965,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3966,drushtartha ashtang sangraha,3966,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3967,drushtartha ashtang sangraha,3967,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3968,drushtartha ashtang sangraha,3968,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3969,drushtartha ashtang sangraha,3969,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3970,drushtartha ashtang sangraha,3970,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3971,drushtartha ashtang sangraha,3971,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3972,drushtartha ashtang sangraha,3972,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3973,drushtartha ashtang sangraha,3973,P G Athavale,drushtartha ashtang sangraha,230,godavari publishers,342,Nagpur,CR2884,1/22/2013,7,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
3974,arogya prakash,3974,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3975,arogya prakash,3975,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3976,arogya prakash,3976,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3977,arogya prakash,3977,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3978,arogya prakash,3978,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3979,arogya prakash,3979,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3980,arogya prakash,3980,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3981,arogya prakash,3981,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3982,arogya prakash,3982,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3983,arogya prakash,3983,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3984,arogya prakash,3984,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3985,arogya prakash,3985,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3986,arogya prakash,3986,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3987,arogya prakash,3987,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3988,arogya prakash,3988,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3989,arogya prakash,3989,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3990,arogya prakash,3990,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3991,arogya prakash,3991,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3992,arogya prakash,3992,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3993,arogya prakash,3993,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3994,arogya prakash,3994,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3995,arogya prakash,3995,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3996,arogya prakash,3996,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3997,arogya prakash,3997,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3998,arogya prakash,3998,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
3999,arogya prakash,3999,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
4000,arogya prakash,4000,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
4001,arogya prakash,4001,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
4002,arogya prakash,4002,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
4003,arogya prakash,4003,Ramnarayan sharma,arogya prakash,65,Baidyanath ayurved bhavan lmt,574,Nagpur,CR2884,1/22/2013,18,CR2884,1/22/2013,STUDENT,Available,Swasthrutta,marathi,
4004,aoshadhi vigyan shashtra,4004,vishvanath dvivedi,aoshadhi vigyan shashtra,90,Baidyanath ayurved bhavan lmt,839,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4005,aoshadhi vigyan shashtra,4005,vishvanath dvivedi,aoshadhi vigyan shashtra,90,Baidyanath ayurved bhavan lmt,839,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4006,aoshadhi vigyan shashtra,4006,vishvanath dvivedi,aoshadhi vigyan shashtra,90,Baidyanath ayurved bhavan lmt,839,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4007,aoshadhi vigyan shashtra,4007,vishvanath dvivedi,aoshadhi vigyan shashtra,90,Baidyanath ayurved bhavan lmt,839,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4008,aoshadhi vigyan shashtra,4008,vishvanath dvivedi,aoshadhi vigyan shashtra,90,Baidyanath ayurved bhavan lmt,839,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4009,aoshadhi vigyan shashtra,4009,vishvanath dvivedi,aoshadhi vigyan shashtra,90,Baidyanath ayurved bhavan lmt,839,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4010,aoshadhi vigyan shashtra,4010,vishvanath dvivedi,aoshadhi vigyan shashtra,90,Baidyanath ayurved bhavan lmt,839,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4011,aoshadhi vigyan shashtra,4011,vishvanath dvivedi,aoshadhi vigyan shashtra,90,Baidyanath ayurved bhavan lmt,839,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4012,aoshadhi vigyan shashtra,4012,vishvanath dvivedi,aoshadhi vigyan shashtra,90,Baidyanath ayurved bhavan lmt,839,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4013,ayurvediya ausadh sevan vidhi,4013,ramnarayan sharma,ayurvediya ausadh sevan vidhi,14,Baidyanath ayurved bhavan lmt,140,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4014,ayurvediya ausadh sevan vidhi,4014,ramnarayan sharma,ayurvediya ausadh sevan vidhi,14,Baidyanath ayurved bhavan lmt,140,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4015,ayurvediya ausadh sevan vidhi,4015,ramnarayan sharma,ayurvediya ausadh sevan vidhi,14,Baidyanath ayurved bhavan lmt,140,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4016,ayurvediya ausadh sevan vidhi,4016,ramnarayan sharma,ayurvediya ausadh sevan vidhi,14,Baidyanath ayurved bhavan lmt,140,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4017,ayurvediya ausadh sevan vidhi,4017,ramnarayan sharma,ayurvediya ausadh sevan vidhi,14,Baidyanath ayurved bhavan lmt,140,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4018,ayurvediya ausadh sevan vidhi,4018,ramnarayan sharma,ayurvediya ausadh sevan vidhi,14,Baidyanath ayurved bhavan lmt,140,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4019,ayurvediya ausadh sevan vidhi,4019,ramnarayan sharma,ayurvediya ausadh sevan vidhi,14,Baidyanath ayurved bhavan lmt,140,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4020,ayurvediya ausadh sevan vidhi,4020,ramnarayan sharma,ayurvediya ausadh sevan vidhi,14,Baidyanath ayurved bhavan lmt,140,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,kayachikitsa,marathi,
4021,ayurvedsarsangraha,4021,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4022,ayurvedsarsangraha,4022,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4023,ayurvedsarsangraha,4023,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4024,ayurvedsarsangraha,4024,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4025,ayurvedsarsangraha,4025,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4026,ayurvedsarsangraha,4026,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4027,ayurvedsarsangraha,4027,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4028,ayurvedsarsangraha,4028,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4029,ayurvedsarsangraha,4029,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4030,ayurvedsarsangraha,4030,ramnarayan sharma,ayurvedsarsangraha,200,Baidyanath ayurved bhavan lmt,731,Nagpur,CR2884,1/22/2013,21,CR2884,1/22/2013,STUDENT,Available,rasshashtra,Marathi,
4031,Essentials of ophthalmology,4031,Samar K Basak,Essentials of ophthalmology,495,Current Books International,504,Nagpur,CR2884,1/22/2013,10,CR2884,1/22/2013,STUDENT,Available,Shalakyatantra,English,
4032,Padartha vigyan shlokavali,4032,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4033,Padartha vigyan shlokavali,4033,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4034,Padartha vigyan shlokavali,4034,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4035,Padartha vigyan shlokavali,4035,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4036,Padartha vigyan shlokavali,4036,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4037,Padartha vigyan shlokavali,4037,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4038,Padartha vigyan shlokavali,4038,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4039,Padartha vigyan shlokavali,4039,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4040,Padartha vigyan shlokavali,4040,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4041,Padartha vigyan shlokavali,4041,Bhavana Bhalme,Padartha vigyan shlokavali,16,godavari publishers,75,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4042,A Short Book Of E.N.T Diseases,4042,K.B.Bhargava,A Short Book Of E.N.T Diseases,695,Usha Publication,430,Nagpur,CR2884,1/22/2013,10,CR2884,1/22/2013,STUDENT,Available,Shalakyatantra,English,
4043,Padartha vigyan,4043,Arun Bhatkar,Padartha vigyan,240,Rajani Publication,436,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4044,Padartha vigyan,4044,Arun Bhatkar,Padartha vigyan,240,Rajani Publication,436,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
4045,Padartha vigyan,4045,Arun Bhatkar,Padartha vigyan,240,Rajani Publication,436,Nagpur,CR2884,1/22/2013,11,CR2884,1/22/2013,STUDENT,Available,samhita sidhant ,marathi,
